Station_Name,Latitude,Longitude,Bearing
P-73,37.77722785,-122.2284271,123.812209
P-532,37.7103998,-122.1461816,132.069366
P-900,37.5576004,-121.9768183,132.0381107
P-377,37.73401791,-122.1732976,137.5347107
P-835,37.59653656,-122.0235542,140.4250582
P-634,37.69661084,-122.1259162,131.8433149
P-154,37.76662396,-122.2122184,139.1771778
P-234,37.75516653,-122.1985965,138.457796
P-809,37.63557342,-122.0581473,148.9280684
A-796,37.65921247,-122.0767324,148.9907837
P-729,37.67687449,-122.0974709,131.871822
P-438,37.7244645,-122.1626295,151.4375973
P-304,37.74492095,-122.1863519,138.0603341
P-651,37.68727669,-122.1125737,132.1080127
P-788,37.66818006,-122.0847526,131.8662044
P-251,37.75267133,-122.1956387,137.6152088
P-2,37.78586873,-122.2427874,122.2548343
P-44,37.78075343,-122.2340572,135.1958891
A-868,37.56589028,-121.9864861,148.1472229
A-811,37.62612738,-122.0517237,159.0430566
A-861,37.59229153,-122.0193465,313.6677379
P-31_RL,37.83345682,-122.2661134,9.722002699
A-139,37.89568463,-122.1104208,78.86685591
P-190,37.90796608,-122.0660321,26.12142364
P-254,37.93164597,-122.0514789,56.27247853
B-305,37.97121409,-122.0301944,19.40570561
A-211,37.91207133,-122.0640095,12.81416201
P-153,37.89994152,-122.0712677,43.63627346
P-280,37.96618675,-122.0313833,356.5598044
A-96_CL,37.85061484,-122.2396261,55.69406231
P-236,37.92931557,-122.0548378,45.95623074
A-274,37.96435099,-122.0309124,344.0053999
A-55,37.84128281,-122.2614318,68.37677007
B-8,37.81654943,-122.2704664,15.98258238
A-99,37.87765391,-122.1842941,32.50241014
P-48,37.84025701,-122.2635036,50.05045253
A-118_CL,37.89230081,-122.1283978,73.46000728
P-112,37.89131489,-122.1452064,84.4698946
A-151,37.89843391,-122.0736199,60.3762809
P-288,37.96785505,-122.0313386,6.496419657
P-44,37.83934363,-122.2644835,35.38130687
P-142,37.8977294,-122.0956447,88.88038518
A-108,37.89198548,-122.1542893,102.0509258
A-266,37.94301508,-122.0293925,58.06234789
A-200,37.71010079,-122.4614404,271.8758009
P-55,37.80391785,-122.2927546,297.8946259
P-140,37.80849474,-122.3130862,278.121179
P-179,37.71051257,-122.455817,248.1292972
P-216A,37.70386621,-122.4708389,203.8863935
B-231,37.7004542,-122.4710393,180.4791954
P-174,37.71103518,-122.454615,235.4304739
P-215B,37.70422033,-122.4704424,214.1273414
P-38,37.802675,-122.2890191,287.1410578
P-183,37.71020334,-122.4569547,259.2868259
P-150,37.71456066,-122.4501636,221.0651934
P-062,37.8457523,-122.2709324,351.7434333
P-313,37.9257767,-122.3173607,329.2566443
P-188,37.903943,-122.2999854,328.5630754
P-078,37.88205823,-122.2902715,341.4448814
P-018,37.83777036,-122.2689217,337.6116687
P-148,37.89646048,-122.2952769,346.6895277
P-375,37.93290085,-122.3487773,314.7642299
A-25,37.83108494,-122.2664646,10.4499907
P-341,37.93021844,-122.3217,304.5267642
A-387,37.93854286,-122.3547307,327.6928957
P-363,37.93160699,-122.3461846,291.1609313
P-356,37.93141639,-122.3445638,272.9163409
A-351,37.93103686,-122.3240761,284.5453921
P-008,37.83609241,-122.2675601,325.2104676
P-333,37.92924818,-122.3202623,316.7828462
P-369,37.93209278,-122.347493,302.7248513
E10_TCR,38.019298,-121.933012,
E30_TCR,37.99552,-121.781064,
A10_TCR,37.79748,-122.265697,
A50_TCR_105,37.697207,-122.126898,
A58_TCR,37.691097,-122.117681,
A60_TCR,37.669303,-122.086347,
A70_TCR,37.634352,-122.056968,
OHY_TCR,37.613333,-122.041459,
HTT_TCR,37.609872,-122.036569,
A80_TCR_101B,37.590782,-122.017397,
A80_TCR_101,37.590649,-122.017434,
A80_TCR_101C,37.590641,-122.01722,
A90_TCR,37.557312,-121.976368,
A20_TCR_107,37.775019,-122.224516,
A20_TCR_108,37.775114,-122.224431,
A30_TCR_105A,37.753931,-122.197131,
A40_TCR,37.7219,-122.160771,
K10_TCR_101,37.803372,-122.271798,
K10_TCR_101B,37.803443,-122.271795,
K10_TCR_102B,37.80342,-122.271729,
K20_TCR_213E,37.808939,-122.26828,
C30_TCR,37.893258,-122.124481,
C40_TCR,37.906089,-122.06714,
C50_TCR_104,37.928965,-122.055381,
C54_TCR,37.952776,-122.025776,
OCY_TCR,37.956463,-122.027557,
C60_TCR,37.973825,-122.028901,
C70_TCR_109,38.003423,-122.024467,
C76_TCR,38.020113,-121.986282,
C80_TCR,38.018915,-121.94539,
C88_TCR,38.019313,-121.933191,
C10_TCR,37.844754,-122.251302,
C20_TCR,37.877919,-122.184092,
K30_TCR,37.828852,-122.267037,
L06_TCR,37.688531,-122.104282,
L10_TCR_102A,37.690747,-122.075063,
L14_TCR,37.701699,-122.03665,
L16_TCR,37.700985,-121.99284,
L18_TCR,37.696505,-121.968604,
L20_TCR,37.700178,-121.926266,
L30_TCR_108D,37.701651,-121.898626,
M10_TCR,37.804813,-122.294966,
M60_TCR_101D,37.752001,-122.418469,
M70_TCR_205,37.733016,-122.433941,
M80_TCR_105,37.721142,-122.447811,
M80_TCR_106,37.721116,-122.447612,
M90_TCR_112,37.706646,-122.468525,
M90_TCR_113,37.706709,-122.468661,
M90_TCR_114,37.70662,-122.468733,
M90_TCR_116A,37.706555,-122.468594,
M94_TCR_MSC,37.692482,-122.469714,
ODY_TCR_106,37.685445,-122.468254,
M16_TCR,37.792107,-122.397832,
M20_TCR,37.788497,-122.402484,
M30_TCR_102D,37.784421,-122.407652,
M40_TCR_106B,37.779525,-122.413847,
M50_TCR_101D,37.764877,-122.419699,
R50_TCR_105,37.925498,-122.317038,
R60_TCR,37.937099,-122.353408,
ORY_TCR_101,37.945126,-122.358576,
R10_TCR,37.853958,-122.269375,
R20_TCR_105C,37.870592,-122.268188,
R30_TCR_110,37.873858,-122.283253,
R30_TCR_110A,37.874079,-122.283752,
R40_TCR_105,37.902883,-122.299222,
S06_TCR,37.543744,-121.955072,
S12_TCR,37.524482,-121.95065,
S20_TCR,37.503152,-121.939456,
S24_TCH,37.484831,-121.930073,
S26_TCH,37.459631,-121.918166,
S28_TCH,37.438106,-121.907089,
S40_TCR,37.410619,-121.891149,
S44_TCH,37.38789,-121.880909,
S50_TCR,37.368201,-121.874816,
W10_TCR_110,37.68445,-122.466043,
W10_TCR_111E,37.684513,-122.465961,
W20_TCR_101,37.664322,-122.44412,
W30_TCR,37.640282,-122.417452,
W34_TCR,37.623778,-122.407338,
W40_TCR_102,37.600955,-122.387217,
W40_TCR_103,37.60087,-122.387109,
W40_TCR_103A,37.600809,-122.387051,
W40_TCR,37.600358,-122.386573,
Y10_TCR_552,37.616145,-122.391908,
Y10_TCR_A,37.616056,-122.392433,
Y10_TCR_B,37.615868,-122.393155,
E39_TCR,37.994604,-121.769665,
C55_TCR,37.956466,-122.027576,
